Unnamed: 0,Question,A,B,C,D,Answer,Subject
160,"Šis jautājums attiecas uz šādu informāciju.
""Vairāk nekā ceturtdaļgadsimtu mēs esam bijuši liecinieki abu lielo politisko partiju cīņai par varu un laupīšanu, savukārt ciešanu skartie cilvēki ir cietuši no smagām nelikumībām. Mēs apsūdzam, ka kontrolējošā ietekme, kas dominē abās šajās pusēs, ir ļāvusi attīstīties esošajiem briesmīgajiem apstākļiem bez nopietnām pūlēm tos novērst vai ierobežot. Tagad viņi arī nesola mums nekādas būtiskas reformas. Viņi ir vienojušies kopā, lai nākamajā kampaņā ignorētu katru problēmu, izņemot vienu. Viņi ierosina noslīcināt izlaupītas tautas kliedzienus ar viltus cīņas kņadu par tarifu, lai varētu aizmirst par kapitālistiem, korporācijām, nacionālajām bankām, gredzeniem, trestiem, dzirdinātiem krājumiem, sudraba demonetizāciju un augļotāju apspiešanu. Viņi ierosina upurēt mūsu mājas, dzīvības un bērnus uz mamona altāra; iznīcināt ļaudis, lai nodrošinātu korupcijas līdzekļus no mil lionaires.
""Mēs esam sapulcējušies tautas dzimšanas dienā un piepildīti ar lielā ģenerāļa un priekšnieka garu, kurš izveidoja mūsu neatkarību, mēs cenšamies atjaunot Republikas valdību"" vienkāršās tautas ""rokās, ar kuru šķiru tā radās. Mēs apliecinām, ka mūsu mērķi ir identiski Valsts Konstitūcijas mērķiem; veidot perfektāku savienību un izveidot taisnīgumu, apdrošināt iekšzemes mieru, nodrošināt kopējo aizsardzību, veicināt paaudzes labklājību un nodrošiniet brīvības svētību sev un mūsu pēcnācējiem.""
Populistu partijas platforma, 1892. gads
Kurš no šiem vistiešāk bija populistu partijas panākumu cēlonis?",Rietumu lauksaimnieki un fermeri atbalstīja saglabāšanu un organizēja nacionālo parku sistēmas popularizēšanu.,Korporatīvās varas un banku interešu pieaugums iedvesmoja lauku aktīvistus lobēt politiskās reformas.,Rietumu lauksaimnieki pretojās lauksaimniecības mehanizācijai un aizvainoja valdību par iejaukšanos lauku lietās.,"Pēc Pilsoņu kara migrācija uz rietumiem palēninājās, izraisot ilgstošu lejupslīdi daudzās Rietumu teritorijās.",B,high_school_us_history
200,Reakcijas ātrumu sadursmju teorija neietver,sadursmju skaits sekundē,pārejas stāvoklis,katras sadursmes enerģija,katras sadursmes orientāciju,B,high_school_chemistry
133,Kurš no šiem dzīvniekiem dēj olas?,Saida,gerbila,Bezastainie abinieki,Zilonis,C,miscellaneous
84,"Smile Inc. iegādājās datoru 1. maijā par 12000 ASV dolāriem. Paredzamā glābšanas vērtība ir 1500 ASV dolāri, un tā kalpošanas laiks ir 3 gadi. Kādi ir nolietojuma izdevumi gadā, kas beidzās 31. decembrī, izmantojot divkāršās nolietojuma samazināšanas metodi?",8000 $,7000 $,5333 $,4667,C,professional_accounting
376,"Koledžas students ierosināja krimināllietu pret savu bijušo istabas biedru, apgalvojot, ka bijušais istabas biedrs ielauzās un no savas mājas izņēma savu moderno mājas kinozāles aprīkojumu. Koledžas studente paņēma prokuratūras apstiprinātos sūdzības dokumentus un iesniedza tos maģistrāta tiesā. Tomēr notiekošajā policijas izmeklēšanā vēlāk tika konstatēts, ka koledžas students bija atriebīga persona, kas nevēlējās radīt stāstus, un ka viņš un bijušais istabas biedrs bija apgalvojuši, ka vairākas saistītas problēmas. Viņi arī noteica, ka viņam nekad nav bijušas kvalitatīvas skaņas vai video iekārtas. Policija kriminālvajāšanu pārtrauca, un krimināllieta tika izbeigta pirmstiesas sēdē. Kad bijušais istabas biedrs iesniedza civillietu pret koledžas studentu, apgalvojot par ļaunprātīgu kriminālvajāšanu, vai pierādījumi par studenta negodīguma reputāciju būs pieņemami un kāpēc?","Jā, jo negodīgums jebkurā laikā pagātnē vienmēr ir saistīts ar ļaunprātīgu kriminālvajāšanas sūdzību.","Jā, jo, lai gan rakstura pierādījumi ir pārāk liels nodrošinājums, lai tos varētu pieņemt netiešajiem pierādījumiem, tie ir pieļaujami, ja tie ir tieši aplūkojami lietā.","Jā, jo reputācijas pierādījumi, tāpat kā lielākā daļa rakstura pierādījumu, praktiski vienmēr ir pieņemami.","Jā, jo, lai gan lielākā daļa rakstura pierādījumu nav pieņemami, daži ir, un reputācijas pierādījumi vienmēr ir pieņemami.",B,professional_law
554,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es bieži pārdodu lietotas grāmatas tiešsaistē, kuras atradu savā grāmatu plauktā. 2. scenārijs | Es saskrāpēju viņas brūci.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios
93,Kurš no šiem pierādījumiem netika minēts kā pierādījums dzīvībai marsiešu meteorītā ALH84001?,"Sarežģītas organiskās molekulas, īpaši PAO","Magnetīta graudiņi, līdzīgi tiem, ko veido baktērijas uz Zemes",Karbonātu minerāli norāda uz biezāku siltāku Marsa atmosfēru,"Aminoskābes ar vēlamo orientāciju vai ""hiralitāti""",D,astronomy
28,"Vecāki 48 stundas pēc 5-TU PPD ādas testa saņemšanas atved uz biroju 3 gadus vecu balto meiteni, lai veiktu atkārtotu vizīti. Tests tika veikts kā daļa no rutīnas skrīninga, lai reģistrētos bezpajumtnieku patversmē. Fiziskā izmeklēšana uzrāda 10 mm sacietējumu punkcijas vietā; citādi izmeklēšana ir normāla. Vecāki saka, ka viņi ir šokēti par šo atradumu, jo abi viņu ādas testi bija nereaktīvi. Viņi saka, ka ir dzimuši šajā valstī, un stāsta, ka viņu meita r vienmēr ir bijusi laba veselība. Pēdējo 2 gadu laikā viņai nav bijusi liela medicīniskā aprūpe, bet viņa ir bijusi vesela. Pirms pārcelšanās uz šo patversmi viņi bija ""tupētāji"" brīvajās ēkās. Kurš no šiem soļiem šobrīd ir vispiemērotākais?","Zvaniet viņas iepriekšējam ārstam, lai iegūtu vairāk vēstures",Pasūtīt krūškurvja rentgenuzņēmumu,Pasūtīt HIV antivielas testu,Atkārtojiet PPD ādas testu,B,professional_medicine
295,Kādas ir pasaulē indīgākās zivis?,Skorpionzivs,Lauvas zivs,Akmeņzivs,Krupji,C,miscellaneous
23,Kurš no šiem produktiem vismazāk šķīst ūdenī?,NaBr,NiSO3,CrCl3,Mn(NO3)2,B,high_school_chemistry
